State,County,Preventable Hospital Stays,PCP Number,PCP Rate,MHP Number,MHP Rate,Smoking %,Obesity %,Physical Inactivy %,Mammogram %,Flu Vaccine %,Income 80%,Income 20%,Life Expectancy
Kentucky,Clark,4445.0,17.0,47.0,32.0,88.0,24,39,25,40.0,49.0,101492.0,22181.0,74.840112804
Kentucky,Clay,8107.0,7.0,35.0,11.0,55.0,34,38,34,19.0,20.0,62623.0,9980.0,71.731723309
Kentucky,Clinton,8432.0,4.0,39.0,18.0,176.0,30,38,36,27.0,35.0,64464.0,14419.0,75.180067002
Kentucky,Cumberland,10808.0,3.0,45.0,15.0,227.0,27,34,22,28.0,15.0,66564.0,12504.0,74.91778612
Kentucky,Daviess,3686.0,54.0,53.0,297.0,293.0,22,30,28,48.0,53.0,99621.0,22045.0,76.821086096
Kentucky,Edmonson,6233.0,1.0,8.0,5.0,41.0,27,40,25,39.0,47.0,78380.0,16869.0,75.832094686
Kentucky,Elliott,6049.0,1.0,13.0,13.0,173.0,31,40,28,30.0,36.0,68635.0,12066.0,77.357138564
Kentucky,Estill,6298.0,4.0,28.0,9.0,64.0,31,35,34,36.0,30.0,69500.0,13011.0,71.912230229
Kentucky,Fayette,3921.0,404.0,125.0,1337.0,414.0,18,28,22,45.0,55.0,116725.0,24018.0,78.619747474
Kentucky,Fleming,6860.0,7.0,49.0,5.0,34.0,28,39,27,34.0,38.0,84869.0,17401.0,75.00550558
Kentucky,Floyd,10771.0,21.0,59.0,857.0,2408.0,29,41,40,30.0,34.0,70954.0,12088.0,70.975130667
Kentucky,Franklin,5271.0,19.0,37.0,74.0,145.0,20,39,24,34.0,47.0,99736.0,28026.0,75.759071699
Kentucky,Gallatin,3697.0,4.0,45.0,8.0,90.0,27,30,30,33.0,42.0,94950.0,22305.0,71.789017673
Kentucky,Garrard,5135.0,5.0,28.0,4.0,23.0,25,31,27,32.0,46.0,96560.0,22352.0,76.308391928
Kentucky,Grant,4033.0,11.0,44.0,20.0,80.0,26,35,34,39.0,50.0,101055.0,20197.0,73.615167759
Kentucky,Graves,8628.0,12.0,32.0,35.0,94.0,25,34,36,40.0,46.0,90272.0,16478.0,75.803965869
Kentucky,Grayson,8927.0,15.0,57.0,28.0,106.0,28,44,35,35.0,44.0,80930.0,17126.0,73.569095433
Kentucky,Green,6639.0,2.0,18.0,15.0,137.0,28,36,27,32.0,38.0,75109.0,16502.0,75.141359688
Kentucky,Greenup,7265.0,22.0,62.0,62.0,177.0,24,41,33,40.0,49.0,107030.0,21414.0,74.866779707
Kentucky,Hardin,6034.0,70.0,63.0,449.0,405.0,22,40,31,36.0,46.0,105124.0,24709.0,77.184364565
Kentucky,Harlan,12215.0,7.0,27.0,10.0,38.0,32,40,35,22.0,24.0,61222.0,10554.0,70.466089934
Kentucky,Harrison,5167.0,9.0,48.0,8.0,42.0,25,33,35,33.0,53.0,94394.0,18436.0,74.839586698
Kentucky,Hart,6563.0,7.0,37.0,16.0,84.0,28,30,32,35.0,40.0,76432.0,14467.0,74.894276202
Kentucky,Henderson,6115.0,24.0,53.0,56.0,124.0,25,37,31,40.0,52.0,94000.0,20029.0,76.071632165
Kentucky,Henry,3878.0,8.0,50.0,7.0,43.0,26,34,22,46.0,46.0,94883.0,24467.0,75.218832061
Kentucky,Hopkins,4316.0,47.0,104.0,43.0,96.0,25,39,37,40.0,49.0,91078.0,18273.0,74.73762705
Kentucky,Jackson,5045.0,3.0,22.0,5.0,38.0,30,42,40,27.0,32.0,68780.0,12416.0,72.67415433
